Round 1,Round 2,Round 3,Round 4
13.66235704,1.769180601,5.948108943,9.402127419
18.31747799,13.38431918,15.8230844,14.26183719
3.676955262,9.178779875,11.00727032,11.38463877
18.01887899,48.66210024,1.788854382,8.292767934
37.90118732,7.029224708,36.40054945,4.313930922
2.28035085,10.30921918,30.05411785,2.6
11.20401714,10.30921918,22.02294258,10.16366076
11.79237041,14.6342065,13.43726163,13.52479205
12.25601893,28.17374664,30.06725794,10.25914226
14.86068639,39.34513947,10.26498904,5.830951895
14.36836804,28.3019434,12.12641744,20.52047758
17.53453735,27.90161286,25.94224354,13.31352696
34.7023054,5.385164807,4.981967483,28.90069203
40.5123438,17.4725499,,25.39704707
2.729468813,29.90401311,,22.80811259
11.70469991,31.51586902,,35.60898763
15.91100248,10.69298836,,10.10742301
28.01785145,27.51817581,,14.33387596
17.24470933,20.25561651,,37.03039292
17.38332534,9.027181177,,
20.88492279,34.30014577,,
